Titulo_original;Titulo_encontrado;Fuente;Sinopsis;Poster_URL;Generos;Puntuacion;Episodios;URL_Externa;Backdrop_URL;Temporadas_Detalle;Reparto;Reparto_Fotos;Equipo;Recomendaciones;Trailer_URL
Ao no Exorcist - Kyoto Fujouou-hen;Ao no Exorcist: Kyoto Fujouou-hen;Jikan (MyAnimeList);Rin Okumura descubre que es el hijo de Satanás y decide entrenarse en la Academia de la Verdadera Cruz para convertirse en un exorcista capaz de derrotar a su padre.;https://cdn.myanimelist.net/images/anime/5/85201l.jpg;Action, Supernatural;7.34;12.0;https://myanimelist.net/anime/33506/Ao_no_Exorcist__Kyoto_Fujouou-hen;https://image.tmdb.org/t/p/original/wJzHFl5mq6JFbD6equTleJuzlnk.jpg;T1:25|T2:12|T3:12|T4:12|T5:12;Hiroshi Kamiya (Mephisto Pheles (voice));https://image.tmdb.org/t/p/w185/5aAAOlQ2hW5EqEQOzk4UeroxcTN.jpg;;Noragami, Blood+, The Rising of the Shield Hero, Tougen Anki, Sousei no Onmyouji;https://www.youtube.com/watch?v=ayLq7BKjQZU
Ao no Exorcist - Ura Ex;Ao no Exorcist: Ura Ex;Jikan (MyAnimeList);Rin Okumura descubre que es el hijo de Satanás y decide entrenarse en la Academia de la Verdadera Cruz para convertirse en un exorcista capaz de derrotar a su padre.;https://cdn.myanimelist.net/images/anime/11/38149l.jpg;Comedy;7.04;10.0;https://myanimelist.net/anime/10647/Ao_no_Exorcist__Ura_Ex;;;;;;;
Ao no Hako;Ao no Hako;Jikan (MyAnimeList);Taiki Inamata, un jugador de bádminton, se enamora de Chinatsu Kano, la estrella de baloncesto de la escuela, con quien termina conviviendo de forma inesperada en su casa.;https://cdn.myanimelist.net/images/anime/1341/145349l.jpg;Romance, Sports;8.16;25.0;https://myanimelist.net/anime/57181/Ao_no_Hako;https://image.tmdb.org/t/p/original/8p39Ud6ZKMixBQ7R4frg2o3idzc.jpg;T1:25|T2:1;Shoya Chiba (Taiki Inomata (voice)), Reina Ueda (Chinatsu Kano (voice)), Akari Kito (Hina Chono (voice));https://image.tmdb.org/t/p/w185/pF2urY77wuCYd9Fxh7dTirFYKSF.jpg, https://image.tmdb.org/t/p/w185/2WV61uVU7y6XGYqNHLMpP0sApdu.jpg, https://image.tmdb.org/t/p/w185/AoRQOZRC0yINB0WeKnM569rV1wF.jpg;;Yahari Ore no Seishun Love Comedy wa Machigatteiru., Kawaii dake ja Nai Shikimori-san, Kokoro Connect, Horimiya: The Missing Pieces, All Out!!;https://www.youtube.com/watch?v=tcK9Eghsfq8
Arifureta - From Commonplace to World?s Strongest;Arifureta Shokugyou de Sekai Saikyou;Jikan (MyAnimeList);Hajime es transportado a otro mundo junto a sus compañeros de clase, pero al ser traicionado y caer al fondo de un abismo, debe luchar cruelmente por sobrevivir y volverse el más fuerte.;https://cdn.myanimelist.net/images/anime/1776/97682l.jpg;Action, Adventure, Fantasy;6.72;13.0;https://myanimelist.net/anime/36882/Arifureta_Shokugyou_de_Sekai_Saikyou;https://image.tmdb.org/t/p/original/1lL1ts7dzTUp0eOTHvMqfw6zFJn.jpg;T1:13|T2:12|T3:16;Toshinari Fukamachi (Hajime Nagumo (voice)), Yuuki Kuwahara (Yue (voice)), Minami Takahashi (Shea Haulia (voice)), Yoko Hikasa (Tio Klarus (voice)), Saori Onishi (Kaori Shirasaki (voice)), Yumiri Hanamori (Shizuku Yaegashi (voice));https://image.tmdb.org/t/p/w185/o7BCrhWApisvlVSsb9JAVVCNW5M.jpg, https://image.tmdb.org/t/p/w185/n9kLcB2YNl9S2kK6b2rId7cpjdh.jpg, https://image.tmdb.org/t/p/w185/9SRX6yrHGtGEJxcnLyGFhOZkXSH.jpg, https://image.tmdb.org/t/p/w185/mP3bj0s1gqJ6tCKFLhu4b1CkJj7.jpg, https://image.tmdb.org/t/p/w185/cziKB19QMFJ6DQDtxTn07uRY2hq.jpg, https://image.tmdb.org/t/p/w185/zXVwGxsxwEvL1f6wxzTYtxytjDn.jpg;;Isekai Meikyū de Harem, Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru - Level Up wa Jinsei wo Kaeta, Bleach, JoJo's Bizarre Adventure, Seirei Gensouki;https://www.youtube.com/watch?v=LHmdL6x9-kw
Assassination Classroom;Ansatsu Kyoushitsu;Jikan (MyAnimeList);Los estudiantes de la clase 3-E tienen la misión escolar obligatoria de asesinar a Koro-sensei, una poderosa criatura con tentáculos que amenaza con destruir la Tierra.;https://cdn.myanimelist.net/images/anime/5/75639l.jpg;Action, Comedy;8.07;22.0;https://myanimelist.net/anime/24833/Ansatsu_Kyoushitsu;https://image.tmdb.org/t/p/original/62pIwEsYX2dtlyMJjDSM6zpDTU2.jpg;T1:22|T2:25;Jun Fukuyama (Koro-sensei (voice)), Mai Fuchigami (Nagisa Shiota (voice)), Nobuhiko Okamoto (Karma Akabane (voice)), 洲崎綾 (Kaede Kayano (voice)), Ayaka Suwa (Touka yada (voice)), Ayako Kawasumi (Aguri Yukimura (voice));https://image.tmdb.org/t/p/w185/eT9eloyIaIkTvTqMmpcsAleP2hM.jpg, https://image.tmdb.org/t/p/w185/rWYdSVyjdyKoWj9SbJRTMJmYgbJ.jpg, https://image.tmdb.org/t/p/w185/7s1K2yQVF5iIWILaOfG7QrMZkXA.jpg, https://image.tmdb.org/t/p/w185/sApBzyEHk0hvpH1IIxYwfi4GS9p.jpg, https://image.tmdb.org/t/p/w185/pLd8VPfRp50Q744sT492FCn2k6f.jpg, https://image.tmdb.org/t/p/w185/vb4cgQUlZdaZT3P4RI27x2PGwpH.jpg;;Munou na Nana, Urusei Yatsura, Kill Blue, My Hero Academia, Dr. Stone;https://www.youtube.com/watch?v=kgNkGohA20k
Assassination Classroom Temporada 2;Ansatsu Kyoushitsu 2nd Season;Jikan (MyAnimeList);Los estudiantes de la clase 3-E tienen la misión escolar obligatoria de asesinar a Koro-sensei, una poderosa criatura con tentáculos que amenaza con destruir la Tierra.;https://cdn.myanimelist.net/images/anime/8/77966l.jpg;Action, Comedy;8.47;25.0;https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season;;;;;;;
Concrete Revolutio: Choujin Gensou;Concrete Revolutio: Choujin Gensou;2015 - 2016;20 años después de la guerra, Japón ha crecido y se ha desarrollado como ha podido. Sin embargo, ahora se ha llenado de superhéroes, todos ellos con diferentes historias: titanes del espacio exterior, seres de mundos místicos, espíritus de tiempos ancestrales, cíborgs creados por científicos, reliquias que se alzan de entre las ruinas de antiguas civilizaciones... Una parte de estos superhéroes no mantiene en secreto su existencia y ha ganado mucha popularidad entre la gente. Otros esconden su identidad y luchan en secreto. También existen enemigos y organizaciones que operan en las sombras. El gobierno japonés ha tomado medidas para asegurar la paz y el orden. Una de ellas es fundar una organización sujeta al Ministerio de Salud y Bienestar, cuya misión es identificar y localizar a los superhéroes y luego protegerlos.;https://image.tmdb.org/t/p/original/AdJYIIsMX2ijapZImmGOY9lyiNN.jpg;Action & Adventure, Animación, Sci-Fi & Fantasy;6.316;24;;https://image.tmdb.org/t/p/original/rYLyiKiRlRCtQb22Me9LJfCPTP.jpg;T1:24;Aki Toyosaki (Kino Emi (voice)), Eriko Nakamura (Fûrôta (voice)), Tokuyoshi Kawashima (Yoshimura Hyôma (voice)), Kaito Ishikawa (Hitoyoshi Jirô (voice)), Kenichi Suzumura (Shiba Raito (voice)), Toru Okawa (Uru (voice));https://image.tmdb.org/t/p/w185/crZpbb0ILJnH7mIYZV2l4uqQx1J.jpg, https://image.tmdb.org/t/p/w185/orE5QryRGIQWaTxc2PRLTh1Z9Uk.jpg, https://image.tmdb.org/t/p/w185/ebs1XeKvNqYOyCl7ghID1B6vHv3.jpg, https://image.tmdb.org/t/p/w185/fzjIkotjUHHs3wgftM9tqdsG8ph.jpg, https://image.tmdb.org/t/p/w185/vFqjmIjxfgBkh3ZmUin7QETV0sy.jpg, https://image.tmdb.org/t/p/w185/dkVP18qK730qbki25nogZzBbfuM.jpg;;SSSS.Dynazenon, SSSS.Gridman, TIGER & BUNNY, The Red Ranger Becomes an Adventurer in Another World, ULTRAMAN;https://www.youtube.com/watch?v=OgBFwuSQzS8
B - The Beginning;B: The Beginning;TMDB;"El regreso del genial investigador Keith Flick al cuerpo policial coincide con la aparición del asesino en serie ""B"". ¿Y quién es el joven Koku? ¿Un aliado o un objetivo?";https://image.tmdb.org/t/p/original/60Gpt5IQNj6jHqq6IdQiMs8RpXB.jpg;Action & Adventure, Animación, Drama, Crimen, Misterio, Sci-Fi & Fantasy;7.6;18.0;https://www.themoviedb.org/tv/77529;https://image.tmdb.org/t/p/original/sVepiHYpQRnNvOpyWUIBy7n6azy.jpg;T1:12|T2:6;Asami Seto (Lily Hoshina (voice)), Hiroaki Hirata (Keith Kazama Flick (voice)), Yuki Kaji (Kokuu (voice));https://image.tmdb.org/t/p/w185/iKKCPgKrNd4pJ0iBOC1SBZy2Y4Y.jpg, https://image.tmdb.org/t/p/w185/mMWEdlssJm3TVuXW4Wb7pQeX20Z.jpg, https://image.tmdb.org/t/p/w185/8wKdPV11IwowfwoqGqMMNt9hmp6.jpg;;Bungou Stray Dogs, ID:Invaded, Paranoia Agent, Dimension W, Kemono Jihen;https://www.youtube.com/watch?v=PLoDi3eu2UI
Durarara!!;Durarara!!;TMDB;Mikado era un chico que siempre quiso vivir en la gran ciudad, cosa que se hace realidad cuando Masouri lo ayuda a transferirse a una escuela en Ikebukuro. También le advierte que tenga cuidado con las leyendas urbanas del lugar. Pero el primer día ahí ya tiene encuentro con tales leyendas...;https://image.tmdb.org/t/p/original/eV227ZkWjjKhp9xrmY1rr9S8Kwg.jpg;Action & Adventure, Animación, Drama, Misterio, Crimen;7.639;24;;https://image.tmdb.org/t/p/original/kH9iK6krt0VBwAv5xbsYyhn8AW5.jpg;T1:24|T2:36;Miyuki Sawashiro (Celty Sturluson (voice)), Toshiyuki Toyonaga (Mikado Ryūgamine (voice)), Mamoru Miyano (Masaomi Kida (voice)), Kana Hanazawa (Anri Sonohara (voice)), Hiroshi Kamiya (Izaya Orihara (voice)), Daisuke Ono (Shizuo Heiwajima (voice));https://image.tmdb.org/t/p/w185/11mGqwpmu8CoEy1YJgabj2g7MIv.jpg, https://image.tmdb.org/t/p/w185/duhxGjWjgo6WagvGgKu529ztz7u.jpg, https://image.tmdb.org/t/p/w185/nuok8ueG7k9hPZ09Tpr8e7Qn0ah.jpg, https://image.tmdb.org/t/p/w185/9UTBlNRopSOKyoWnCm74tyHOfR1.jpg, https://image.tmdb.org/t/p/w185/5aAAOlQ2hW5EqEQOzk4UeroxcTN.jpg, https://image.tmdb.org/t/p/w185/5rjl28lx84JjRS0hzq3Ajvx2dhp.jpg;;Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari, Banana Fish, Tokyo Vice, Gangsta., Kemono Jihen;https://www.youtube.com/watch?v=q5qlX4lWst0
ヱヴァンゲリヲン新劇場版:Q;Evangelion: 3.0 You Can (Not) Redo;TMDB;La historia empieza 14 años después del Casi Tercer Impacto, el gobierno japonés decide desmantelar NERV y arrestar a su personal, durante los 14 años varios miembros de NERV obtienen su libertad y deciden formar una organización llamada WILL-E cuyo supuesto propósito es limpiar los mares, en realidad tratan de detener los planes de la nueva NERV. Ikari Shinji se despierta y ve lo que él provocó, tratando de arreglarlo, sin darse cuenta de lo que provocaría;https://image.tmdb.org/t/p/original/oU8hDly4mgFYhpg2gZdJQ7D5CoI.jpg;Animación, Ciencia ficción, Acción, Drama;7.197;1;https://www.themoviedb.org/movie/75629;https://image.tmdb.org/t/p/original/q0PBB2RCrOAZrZjqJKhL3ibTV8b.jpg;;緒方恵美 (Shinji Ikari (voice)), 宮村優子 (Asuka Shikinami Langley (voice)), Akira Ishida (Kaworu Nagisa (voice)), Megumi Hayashibara (Rei Ayanami (voice)), Maaya Sakamoto (Mari Makinami Illustrious (voice)), Kotono Mitsuishi (Misato Katsuragi (voice));https://image.tmdb.org/t/p/w185/eNdfMUyZgG5P4TNIZpbTAu8gBs9.jpg, https://image.tmdb.org/t/p/w185/lVxXWzREWxixZ51EK4gmz9LqCV9.jpg, https://image.tmdb.org/t/p/w185/jnW2Gn2NlR2uwOCeyOuzypnTmkH.jpg, https://image.tmdb.org/t/p/w185/3Alm4pmBIxpeeh0Sdippxdbkpne.jpg, https://image.tmdb.org/t/p/w185/hPz2oEQui8a4q9aXdBugQf93ONq.jpg, https://image.tmdb.org/t/p/w185/mvKgkuAVVMmjkFWlwVQu8KCa80O.jpg;Director: Hideaki Anno, Kazuya Tsurumaki;Evangelion: 3.0+1.01 Thrice Upon a Time, Evangelion: 1.0 You Are (Not) Alone, Neon Genesis Evangelion: The End of Evangelion, Ghost in the Shell, Neon Genesis Evangelion: Death (True)²;https://www.youtube.com/watch?v=pwLw2hNNz2M
Baki;Baki;Jikan (MyAnimeList);Baki Hanma, hijo del legendario luchador Yujiro Hanma, entrena incansablemente para convertirse en el luchador más fuerte del mundo y superar a su propio padre. La serie muestra combates extremos entre los guerreros más poderosos del planeta, con un enfoque hiperbólico en las artes marciales y la fuerza bruta.;https://cdn.myanimelist.net/images/anime/1979/93135l.jpg;Sports;7.3;26.0;https://myanimelist.net/anime/34443/Baki;https://image.tmdb.org/t/p/original/qbxoEhlxNcyr7GjG2SXTShWn32m.jpg;T1:26|T2:13;Nobunaga Shimazaki (Baki Hanma (voice)), Kenjiro Tsuda (Sikorsky (voice)), Takehito Koyasu (Doyle (voice)), Issei Futamata (Ryūkō Yanagi (voice)), Banjo Ginga (Dorian (voice)), Chafurin (Speck (voice));https://image.tmdb.org/t/p/w185/qke5rZusHsjSlvB0NKlJ5dQF5D.jpg, https://image.tmdb.org/t/p/w185/yBlT8FzQqZYbDcJlnCEayNQHrzS.jpg, https://image.tmdb.org/t/p/w185/8uBkNDKPNmp9JWgMUI02NVyfhi1.jpg, https://image.tmdb.org/t/p/w185/cZoRqxuTrEDwmMmgbFtgdRO27pQ.jpg, https://image.tmdb.org/t/p/w185/qiXnKaZheMiVyA1U2mX9tPdNA3T.jpg, https://image.tmdb.org/t/p/w185/kiPG7EtYWxkj78US35gnTIMq5Dn.jpg;;Baki Hanma, Baki-Dou: El samurái invencible, Bastard!!, Grappler Baki, Super Crooks;https://www.youtube.com/watch?v=1fSp8NJEw34
Baki Hanma vs Kengan Ashura [2024][1080p][2.86 Gb];Hanma Baki vs. Kengan Ashura;Jikan (MyAnimeList);En una batalla épica sin precedentes, Baki Hanma se enfrenta a Kengan Ashura en un choque entre los dos luchadores más poderosos de sus respectivos universos. Este crossover entre las franquicias Baki y Kengan Ashura pone a prueba los límites del combate humano en un enfrentamiento que los fans esperaban desde hace años.;https://cdn.myanimelist.net/images/anime/1477/142881l.jpg;Action;6.41;1.0;https://myanimelist.net/anime/58510/Hanma_Baki_vs_Kengan_Ashura;;;;;;;
