Titulo_original;Titulo_encontrado;Fuente;Anio;Sinopsis;Poster_URL;Generos;Desarrolladores;Editores;Puntuacion_Usuario;Metascore;URL_Slug;Backdrop_URL;Requisitos_Minimos;Requisitos_Recomendados;Recomendaciones;Trailer_URL;Peso_GB
Assassin's Creed 3 Complete Edition;Assassin's Creed III;RAWG;2012.0;La quinta entrega principal de la saga. Ambientada durante la Guerra de Independencia de Estados Unidos, los jugadores controlan a Connor, un asesino de origen nativo americano e inglés, que lucha contra la influencia de los Templarios en una joven nación.;https://media.rawg.io/media/games/275/2759da6fcaa8f81f21800926168c85f6.jpg;Action;Ubisoft Montreal;Ubisoft Entertainment;3.75;80.0;assassins-creed-iii-2;https://media.rawg.io/media/games/275/2759da6fcaa8f81f21800926168c85f6.jpg;Minimum: OS: Windows Vista® (SP2) / Windows® 7 (SP1) / Windows® 8 Processor: 2.60 GHz Intel® Core™2 Duo E8200 or 2.60 GHz AMD Athlon™ II X4 620 Memory: 2 GB Graphics: 512 MB DirectX® 10—compliant with Shader Model 4.0 or higher (see supported list)* DirectX®: 10 Hard Drive: 17 GB Sound: DirectX 10—compliant (5.1 surround sound recommended) Multiplayer: 256 kbps or faster broadband connection Peripherals: Windows-compatible keyboard, mouse, optional controller (Xbox 360 Controller for Windows rec;Recommended: OS: Windows Vista® (SP2) / Windows® 7 (SP1) / Windows® 8 Processor: 2.66 GHz Intel® Core™2 Quad Q9400 or 3.00 GHz AMD Phenom™ II X4 940 Memory: 4 GB Graphics: 1024 MB DirectX® 10—compliant with Shader Model 5.0 or higher (see supported list)* DirectX®: 10 Hard Drive: 17 GB Sound: DirectX 10–compliant (5.1 surround sound recommended) Multiplayer: 256 kbps or faster broadband connection Peripherals: Windows-compatible keyboard, mouse, optional controller (Xbox 360 Controller for Windo;;;10
Assassin's Creed IV - Black Flag Jackdaw Edition v1.08;Assassin's Creed IV: Black Flag;RAWG;2013.0;Una aventura pirata en la Edad de Oro de la piratería. Como Edward Kenway, surca el Caribe, aborda barcos, asalta fuertes y descubre una antigua conspiración que conecta a la Hermandad de los Asesinos con los Templarios.;https://media.rawg.io/media/games/849/849414b978db37d4563ff9e4b0d3a787.jpg;Action;Ubisoft, Ubisoft Montreal, Ubisoft Toronto, Ubisoft Bucharest;Ubisoft Entertainment;4.16;85.0;assassins-creed-iv-black-flag;https://media.rawg.io/media/games/849/849414b978db37d4563ff9e4b0d3a787.jpg;Minimum: OS: Windows Vista SP2 or Windows 7 SP1 or Windows 8 (both 32/64bit versions) Processor: Intel Core2Quad Q8400 @ 2.6 GHz or AMD Athlon II X4 620 @ 2.6 GHz Memory: 2 GB RAM Graphics: Nvidia Geforce GTX 260 or AMD Radeon HD 4870 (512MB VRAM with shader Model 4.0 or higher) Storage: 30 GB available space Sound Card: DirectX Compatible Sound Card with latest drivers Additional Notes: Windows-Compatible keyboard and mouse required, controller optional.;Recommended: OS: Windows Vista SP2 or Windows 7 SP1 or Windows 8 (both 32/64bit versions) Processor: Intel Core i5 2400S @ 2.5 GHz or better or AMD Phenom II x4 940 @ 3.0 GHz Memory: 4 GB RAM Graphics: Nvidia GeForce GTX 470 or AMD Radeon HD 5850 (1024MB VRAM with Shader Model 5.0) or better Storage: 30 GB available space Sound Card: DirectX Compatible Sound Card with latest drivers Additional Notes: Supported video cards at the time of release: Nvidia GeForce GTX 260 or better and GeForce GTX 4;;;7
Assassin's Creed Liberation HD;Assassin's Creed Liberation HD;RAWG;2013.0;Juega como Aveline de Grandpré, una asesina en la Nueva Orleans prerrevolucionaria. Usa disfraces e ingenio para luchar por la libertad en este capítulo remasterizado en HD del universo Assassin's Creed.;https://media.rawg.io/media/games/ffd/ffd241ae3648999c599917f40cf78ca2.jpg;Action, Adventure;Ubisoft, Ubisoft Montreal, Ubisoft Milan, Ubisoft Sofia;Ubisoft Entertainment;2.9;64.0;assassins-creed-liberation-hd;https://media.rawg.io/media/games/ffd/ffd241ae3648999c599917f40cf78ca2.jpg;"Minimum: OS: Windows Vista SP2, Windows 7 SP1, Windows 8 / 8.1 (both 32/64bit versions) Processor: Intel Core i3 2105 @ 3.1 GHz or AMD Phenom 2 X4 955 @ 3.2GHz Memory: 2 GB RAM Graphics: Nvidia GeForce 8800GT or AMD Radeon HD4870 (512MB VRAM &amp; Shader Model 4.0) Storage: 3500 MB available space Sound Card: DirectX Compatible Sound Card with latest drivers Additional Notes: Supported video cards at time of release: Nvidia GeForce 8800GT or better, GeForce 9, GTX 200, GTX 400, GTX 500, GTX 600,";"Recommended: OS: Windows Vista SP2, Windows 7 SP1, Windows 8 / 8.1 (both 32/64bit versions) Processor: Intel Core i5 2400S @ 2.5 GHz or AMD FX 4100 @ 3,6 GHz or better Memory: 4 GB RAM Graphics: Nvidia GeForce GTX 570 or AMD Radeon HD7870 (1250MB VRAM &amp; Shader Model 5.0) or better Storage: 3500 MB available space Sound Card: DirectX Compatible Sound Card with latest drivers Additional Notes: Supported video cards at time of release: Nvidia GeForce 8800GT or better, GeForce 9, GTX 200, GTX 40";;;2
Assassin's Creed Mirage v1.0.6;Assassin's Creed Mirage;RAWG;2023.0;Vive la historia de Basim, un astuto ladrón callejero que busca respuestas y justicia en el Bagdad del siglo IX. Un regreso a las raíces de la serie, con énfasis en el sigilo, el parkour y el asesinato.;https://media.rawg.io/media/games/fbd/fbd0128013b7965904be571e75fb30c0.jpg;Action;Ubisoft, Ubisoft Montreal, Ubisoft Bordeaux;Ubisoft Entertainment;3.37;;assassins-creed-mirage;https://media.rawg.io/media/games/fbd/fbd0128013b7965904be571e75fb30c0.jpg;最低配置: 需要 64 位处理器和操作系统 操作系统: Windows 10/11 处理器: INTEL® Core™ i7-4790K (INTEL® Core™ i5-8400 for Intel® ARC™ with Rebar) / Ryzen™ 5 1600 内存: 8 GB RAM 显卡: Intel® Arc™ A380 (6 GB) / NVIDIA® GeForce® GTX 1060 (6 GB) / AMD Radeon™ RX 570 (4 GB) DirectX 版本: 12 存储空间: 需要 40 GB 可用空间 支持 VR: N/A 附注事项: Video Preset: Low / Target: 30 fps;推荐配置: 需要 64 位处理器和操作系统 操作系统: Windows 10/11 处理器: Intel® Core™ i7-8700K / AMD Ryzen™ 5 3600 内存: 16 GB RAM 显卡: Intel® Arc™ A750 (8 GB) / NVIDIA® GeForce® GTX 1660 Ti (6 GB) / AMD Radeon™ RX 5600 XT (6 GB) DirectX 版本: 12 存储空间: 需要 40 GB 可用空间 支持 VR: N/A 附注事项: Video Preset: High / Target: 60 fps;;;29
Assassin's Creed Unity Gold Edition v1.5.0;Assassin's Creed Unity;RAWG;2014.0;Ambientada en París durante la Revolución Francesa, guía a Arno Dorian por uno de los períodos más convulsos de la historia. Incluye multijugador cooperativo para hasta cuatro jugadores y una enorme recreación en mundo abierto de París.;https://media.rawg.io/media/games/59f/59fc1c5de1d29cb9234741c97d250150.jpg;Action;Ubisoft, Ubisoft Montreal, Ubisoft Toronto, Ubisoft Montpellier;Ubisoft Entertainment;3.63;71.0;assassins-creed-unity-2;https://media.rawg.io/media/games/59f/59fc1c5de1d29cb9234741c97d250150.jpg;Minimum: OS: Windows 7 SP1, Windows 8/8.1 (64-bit operating system required) Processor: Intel Core i5-2500K @ 3.3 GHz or AMD FX-8350 @ 4.0 GHz Memory: 6 GB RAM Graphics: NVIDIA GeForce GTX 680 or AMD Radeon HD 7970 (2 GB VRAM) Storage: 50 GB available space Sound Card: DirectX 9.0c compatible sound card with latest drivers Additional Notes: Windows-compatible keyboard and mouse required, optional controller;"Recommended: OS: Windows 7 SP1, Windows 8/8.1 (64-bit operating system required) Processor: Intel Core i7-3770 @ 3.4 GHz or AMD FX-8350 @ 4.0 GHz or better Memory: 8 GB RAM Graphics: NVIDIA GeForce GTX 780 or AMD Radeon R9 290X (3 GB VRAM) Storage: 50 GB available space Sound Card: DirectX 9.0c compatible sound card with latest drivers Additional Notes: Supported video cards at the time of release: NVIDIA GeForce GTX 680 or better, GeForce GTX 700 series; AMD Radeon HD7970 or better, Radeon R9 2";;;34
Assassin's Creed - Director's Cut;Assassin's Creed: Director's Cut Edition;RAWG;2008.0;Assassin's Creed sigue el enfrentamiento entre Asesinos y Templarios a través de los ojos de Altaïr Ibn-La'Ahad, un asesino en las Cruzadas, y Desmond Miles, un barman moderno que revive los recuerdos de su ancestro mediante el Animus.;https://media.rawg.io/media/games/4b1/4b11e8fc75e054939c29e7319a643600.jpg;Action, Adventure;Ubisoft Montreal;Ubisoft Entertainment;3.92;79.0;assassins-creed-directors-cut-edition;https://media.rawg.io/media/games/4b1/4b11e8fc75e054939c29e7319a643600.jpg;Minimum: Supported OS: Windows® XP/Windows Vista® (only) Processor: Dual core processor 2.6 GHz Intel® Pentium® D or AMD Athlon™ 64 X2 3800+ (Intel Core® 2 Duo 2.2 GHz or AMD Athlon 64 X2 4400+ or better recommended) System Memory: Windows XP: 1 GB RAM / Windows Vista: 2 GB RAM Video Card: 256 MB DirectX® 10.0-compliant video card or DirectX 9.0-compliant card with Shader Model 3.0 or higher (*see supported list) Sound Card: DirectX 9.0 or 10.0-compliant sound card (5.1 sound card recommended) D;;;;2
Assassins Creed 2 Deluxe Edition;Assassin's Creed II;RAWG;2009.0;La segunda entrega de la saga gira en torno a Ezio Auditore da Firenze, un noble reconvertido en asesino en la Italia del Renacimiento, que busca venganza por el asesinato de su familia y descubre una gran conspiración templaria.;https://media.rawg.io/media/games/1be/1bed7fae69d1004c09dfe1101d5a3a94.jpg;Action;Ubisoft Montreal;Ubisoft Entertainment;4.43;89.0;assassins-creed-ii;https://media.rawg.io/media/games/1be/1bed7fae69d1004c09dfe1101d5a3a94.jpg;;;;;3
Assassin's Creed II - Brotherhood;Assassin's Creed Brotherhood;RAWG;2010.0;Continúa la historia de Ezio mientras viaja a Roma para enfrentarse a la familia Borgia. Por primera vez, recluta y entrena a tu propia Hermandad de Asesinos para que te asistan en tu misión.;https://media.rawg.io/media/games/116/116b93c6876a361a96b2eee3ee58ab13.jpg;Action;Ubisoft Montreal;Ubisoft Entertainment;4.28;88.0;assassins-creed-brotherhood-2;https://media.rawg.io/media/games/116/116b93c6876a361a96b2eee3ee58ab13.jpg;Minimum OS: Windows® XP (32-64 bits) /Windows Vista®(32-64 bits)/Windows 7® (32-64 bits) Processor: Intel Core® 2 Duo 1.8 GHZ or AMD Athlon X2 64 2.4GHZ Memory: 1.5 GB Windows® XP / 2 GB Windows Vista® - Windows 7® Graphics: 256 MB DirectX® 9.0–compliant card with Shader Model 3.0 or higher (see supported list*) DirectX®: 9.0 Hard Drive: 8 GB Sound: DirectX 9.0 –compliant sound card Peripherals: Keyboard, mouse, optional controller Supported Video Cards: ATI® RADEON® HD 2000/3000/4000/5000/6000 ;Recommended OS: Windows® XP (32-64 bits) /Windows Vista®(32-64 bits)/Windows 7® (32-64 bits) Processor: Intel Core® 2 Duo E6700 2.6 GHz or AMD Athlon 64 X2 6000+ or better Memory: 1.5 GB Windows® XP / 2 GB Windows Vista® - Windows 7® Graphics: GeForce 8800 GT or ATI Radeon HD 4700 or better DirectX®: 9.0 Hard Drive: 8 GB Sound: 5.1 sound card Peripherals: Keyboard, mouse, joystick optional (Xbox 360® Controller for Windows recommended) Supported Video Cards: ATI® RADEON® HD 2000/3000/4000/5000/6;;;4
Assassin's Creed III: Remastered;Assassin's Creed III: Remastered;RAWG;2019.0;"Revive la Revolución Americana o experiméntala por primera vez en Assassin's Creed® III Remastered, con gráficos mejorados y mecánicas de juego optimizadas. Además, se incluyen Assassin's Creed® III Liberation Remastered y todo el contenido descargable (DLC) para un jugador. Incluye: Assassin's Creed® III Liberation y todo el contenido descargable original para un jugador, incluida ""La tiranía del rey Washington"". Gráficos mejorados que ahora ofrecen resolución 4K, nuevos modelos de personajes, un renderizado del entorno más pulido y mucho más. También se han renovado las mecánicas de juego para mejorar tu experiencia y tu inmersión. ¡Lucha por la libertad! Mientras las colonias americanas están a punto de rebelarse, asegura la libertad para tu pueblo y tu nación. 1 jugador. Software sujeto a licencia (us.playstation.com/softwarelicense). Las funciones en línea requieren una cuenta y están sujetas a los términos del servicio y a la política de privacidad aplicable (playstationnetwork.com/terms-of-service y playstationnetwork.com/privacy-policy). Tarifa única de licencia para jugar en el sistema PS4™ principal designado de la cuenta y en otros sistemas PS4™ al iniciar sesión con dicha cuenta. © 2019 Ubisoft Entertainment. Todos los derechos reservados. Assassin’s Creed, Ubisoft y el logotipo de Ubisoft son marcas comerciales registradas o no registradas de Ubisoft Entertainment en EE. UU. y/u otros países.";https://media.rawg.io/media/games/c69/c69e0952cdea6baa7cf0739b2e7792fb.jpg;Action, Adventure;Ubisoft Montreal;Ubisoft Entertainment;3.55;71;assassins-creed-iii-remastered;https://media.rawg.io/media/games/c69/c69e0952cdea6baa7cf0739b2e7792fb.jpg;Minimum: OS: W7 SP1, W8.1, W10 (64bit versions only) Processor: Intel Core i5 2400 @ 3.1 GHz, AMD FX 6350 @ 3.9 GHz Memory: 8 GB RAM Graphics: Nvidia GeForce GTX 660, AMD Radeon R9 270X (2GB VRAM with Shader Model 5.0) DirectX: Version 11 Storage: 45 GB available space Sound Card: DirectX 9.0c compatible sound card with latest drivers;Recommended: OS: W7 SP1, W8.1, W10 (64bit versions only) Processor: Intel Core i5 3470 @ 3.2 GHz, AMD FX 8350 @ 4.0 GHz Memory: 8 GB RAM Graphics: Nvidia GeForce GTX 770 (4GB) or AMD Radeon R9 280X (3GB) or better DirectX: Version 11 Storage: 45 GB available space Sound Card: DirectX 9.0c compatible sound card with latest drivers;;;17
Assassins Creed Origins Gold Edition;Assassin's Creed Origins;RAWG;2017.0;Assassin's Creed Origins es un juego de acción en mundo abierto ambientado en el Antiguo Egipto. Controla a Bayek, un Medjay que busca venganza y que, en el proceso, sienta las bases de la Hermandad de los Asesinos.;https://media.rawg.io/media/games/336/336c6bd63d83cf8e59937ab8895d1240.jpg;Action, RPG;Ubisoft, Ubisoft Montreal;Ubisoft Entertainment;3.96;81.0;assassins-creed-origins;https://media.rawg.io/media/games/336/336c6bd63d83cf8e59937ab8895d1240.jpg;;;;https://steamcdn-a.akamaihd.net/steam/apps/256686972/movie_max.mp4;44
Assassins Creed Revelations;Assassin's Creed Revelations;RAWG;2011.0;Cuando un hombre ha ganado todas sus batallas y vencido a sus enemigos, ¿qué le queda por hacer? Sigue a un envejecido Ezio Auditore hasta Constantinopla mientras busca las llaves perdidas de Altaïr y los secretos de la Orden de los Asesinos.;https://media.rawg.io/media/games/193/19390fa5e75e9048b22c9a736cf9992f.jpg;Action;Ubisoft;Ubisoft Entertainment;3.99;80.0;assassins-creed-revelations;https://media.rawg.io/media/games/193/19390fa5e75e9048b22c9a736cf9992f.jpg;Minimum: OS: Windows® XP SP3 / Windows Vista® SP2 /Windows® 7 SP1 Processor: Intel® Core™2 Duo E4400 @ 2.0 GHz or AMD Athlon™ 64 X2 4000+ @ 2.1GHz Memory: 1.5 GB Windows® XP / 2 GB Windows Vista, 7 Graphics: 256 MB DirectX® 9.0–compliant card with Shader Model 4.0 or higher (see supported list)* DirectX®: DirectX® June2010 or newer Hard Drive: 12 GB Sound: DirectX 9.0–compliant sound card Peripherals: Keyboard, mouse, optional controller Internet: Temporary broadband connection required for one-;Recommended: OS: Windows® XP SP3 / Windows Vista® SP2 /Windows® 7 SP1 Processor: Intel® Core™2 Duo E6700 @ 2.6 GHz or AMD Athlon™ 64 X2 6000+ @ 3.0 GHz or better Memory: 2 GB Windows® XP / Windows Vista® / Windows® 7 Graphics: 512 MB DirectX® 9.0–compliant card with Shader Model 5.0 or higher (see supported list)* DirectX®: DirectX® June2010 or newer Hard Drive: 12 GB Sound: Surround Sound 5.1 capable sound card Peripherals: Keyboard, mouse, joystick optional (Xbox 360® Controller for Windows re;;;4
Assassins Creed Rogue;Assassin's Creed Rogue;RAWG;2014.0;Assassin's Creed Rogue está ambientado durante la Guerra de los Siete Años. Controla a Shay Patrick Cormac, un asesino que se vuelve contra su Hermandad y se convierte en uno de los cazadores de Asesinos más temidos de los Templarios.;https://media.rawg.io/media/games/3c4/3c4a44ed99c87c56e0cdcfaaaf5c3628.jpg;Action, Adventure;Ubisoft, Ubisoft Kiev, Ubisoft Sofia;Ubisoft Entertainment;3.72;74.0;assassins-creed-rogue-2;https://media.rawg.io/media/games/3c4/3c4a44ed99c87c56e0cdcfaaaf5c3628.jpg;Minimum: OS: Windows 7 SP1 or Windows 8/8.1 (64bit versions only) Processor: Intel Core2Quad Q6600 @ 2.4 GHz or AMD Athlon II X4 620 @ 2.6 GHzH Memory: 2 GB RAM Graphics: nVidia GeForce GTS450 or AMD Radeon HD5670 (1024MB VRAM) or Intel HD4600 DirectX: Version 11 Storage: 12 GB available space Sound Card: DirectX Compatible Sound Card with latest driver Additional Notes: Supported Video Cards at time of release: NVIDIA GeForce GTS 450 or better, GeForce 500, 600, 700, 900 series / AMD Radeon HD ;Recommended: OS: Windows 7 SP1 or Windows 8/8.1 (64bit versions only) Processor: Intel Core i5 2400s @ 2.5 GHz or better / AMD FX-6100 @ 3.3 GHz or better Graphics: nVidia GeForce GTX 560Ti (1024 VRAM) or better / AMD Radeon HD 6870 (1024 VRAM) or better DirectX: Version 11 Storage: 12 GB available space Sound Card: DirectX Compatible Sound Card with latest driver;;;6
